title	author	avg_rating	ratings	img	url
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.36	4175878	1447303603s/2767052	2767052-the-hunger-games
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.42	3869832	1361572757s/3	3.Harry_Potter_and_the_Sorcerer_s_Stone
Twilight (Twilight, #1)	Stephenie Meyer	3.56	3404290	1361039443s/41865	41865.Twilight
To Kill A Mockingbird	Harper Lee	4.24	2829337	1427698656s/22138225	22138225-to-kill-a-mockingbird
To Kill a Mockingbird	Harper Lee	4.24	2829336	1361975680s/2657	2657.To_Kill_a_Mockingbird
The Great Gatsby	F. Scott Fitzgerald	3.87	2426391	1438728255s/4671	4671.The_Great_Gatsby
The Fault in Our Stars	John Green	4.31	1949149	1360206420s/11870085	11870085-the-fault-in-our-stars
El hobbit	J.R.R. Tolkien	4.23	1915871	1299153949s/59304	59304.El_hobbit
The Hobbit	J.R.R. Tolkien	4.23	1915871	1240356428s/17261	17261.The_Hobbit
The Catcher in the Rye	J.D. Salinger	3.78	1855107	1398034300s/5107	5107.The_Catcher_in_the_Rye
Pride and Prejudice	Jane Austen	4.24	1854005	1461620558s/1886	1886.Pride_and_Prejudice
Pride and Prejudice	Jane Austen	4.24	1854003	1320399351s/1885	1885.Pride_and_Prejudice
Catching Fire (The Hunger Games, #2)	Suzanne Collins	4.3	1818122	1358273780s/6148028	6148028-catching-fire
Divergent (Divergent, #1)	Veronica Roth	4.28	1813973	1328559506s/13335037	13335037-divergent
The Diary of a Young Girl	Anne Frank	4.08	1756527	1358276407s/48855	48855.The_Diary_of_a_Young_Girl
1984	George Orwell	4.12	1748208	1434883591s/1271159	1271159.198
Nineteen Eighty-Four	George Orwell	4.12	1748208	1370521724s/1167752	1167752.Nineteen_Eighty_Four
1984 (Everyman's Library Classics, #134)	George Orwell	4.12	1748208	1320539114s/518844	518844.1984
1984 (ColecÃƒÂ§ÃƒÂ£o Mil folhas, #25)	George Orwell	4.12	1748208	1242929305s/6484809	6484809-1984
Angels & Demons  (Robert Langdon, #1)	Dan Brown	3.83	1746312	1303390735s/960	960.Angels_Demons
Animal Farm	George Orwell	3.84	1731219	1424037542s/7613	7613.Animal_Farm
Mockingjay (The Hunger Games, #3)	Suzanne Collins	4.03	1678720	1358275419s/7260188	7260188-mockingjay
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	4.5	1673951	1362278317s/5	5.Harry_Potter_and_the_Prisoner_of_Azkaban
The Girl with the Dragon Tattoo (Millennium, #1)	Stieg Larsson	4.09	1636008	1327868566s/2429135	2429135.The_Girl_with_the_Dragon_Tattoo
The Kite Runner	Khaled Hosseini	4.23	1624197	1333578275s/819495	819495.The_Kite_Runner
De vliegeraar	Khaled Hosseini	4.23	1624197	1207407607s/807211	807211.De_vliegeraar
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	4.44	1612212	1387141547s/2	2.Harry_Potter_and_the_Order_of_the_Phoenix
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	4.34	1610038	1366240208s/50968	50968.Harry_Potter_and_the_Chamber_of_Secrets
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	4.5	1593913	1361482611s/6	6.Harry_Potter_and_the_Goblet_of_Fire
Harry Potter et la Coupe de Feu (Harry Potter, #4)	J.K. Rowling	4.5	1593913	1327874735s/751274	751274.Harry_Potter_et_la_Coupe_de_Feu
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.59	1582054	1388181616s/71643	71643.Harry_Potter_and_the_Deathly_Hallows
Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	4.59	1582053	1351958236s/818056	818056.Harry_Potter_and_the_Deathly_Hallows
The Fellowship of the Ring (The Lord of the Rings, #1)	J.R.R. Tolkien	4.32	1557478	1298411339s/34	34.The_Fellowship_of_the_Ring
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	4.51	1537641	1361039191s/1	1.Harry_Potter_and_the_Half_Blood_Prince
Romeo and Juliet	William Shakespeare	3.73	1485543	1327872146s/18135	18135.Romeo_and_Juliet
The Lovely Bones	Alice Sebold	3.75	1479958	1457810586s/12232938	12232938-the-lovely-bones
Lord of the Flies	William Golding	3.62	1458962	1327869409s/7624	7624.Lord_of_the_Flies
The Da Vinci Code (Robert Langdon, #2)	Dan Brown	3.76	1420459	1303252999s/968	968.The_Da_Vinci_Code
The Help	Kathryn Stockett	4.45	1357877	1346100365s/4667024	4667024-the-help
Of Mice and Men	John Steinbeck	3.82	1339937	1437235233s/890	890.Of_Mice_and_Men
Gone Girl	Gillian Flynn	4	1317867	1339602131s/8442457	8442457-gone-girl
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #2)	C.S. Lewis	4.17	1317495	1459759317s/481509	481509.The_Lion_the_Witch_and_the_Wardrobe
The Lion, the Witch and the Wardrobe (The Chronicles of Narnia, #1)	C.S. Lewis	4.17	1317495	1370691890s/317500	317500.The_Lion_the_Witch_and_the_Wardrobe
The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)	C.S. Lewis	4.17	1317495	1353029077s/100915	100915.The_Lion_the_Witch_and_the_Wardrobe
PiÃ„â„¢Ã„â€¡dziesiÃ„â€¦t twarzy Greya (PiÃ„â„¢Ã„â€¡dziesiÃ„â€¦t odcieni, #1)	E.L. James	3.68	1306896	1435571388s/25815771	25815771-pi-dziesi-t-twarzy-greya
Fifty Shades of Grey (Fifty Shades, #1)	E.L. James	3.68	1306896	1332514990s/13536858	13536858-fifty-shades-of-grey
