"Power, Politics, and Change: What can I do to help make the world a better place?"	Osho	4.12	49	1312008876s/11359361	11359361-power-politics-and-change

"Judy Moody (Judy Moody, # 1)"	Megan McDonald	3.9	10863	1320540601s/930612	930612.Judy_Moody

"Pleasures of the Night (Dream Guardians, #1)"	Sylvia Day	3.77	7065	1383047372s/124094	124094.Pleasures_of_the_Night

"The Meeting Place (Song of Acadia, #1)"	Janette Oke	4.02	3521	1347613763s/706250	706250.The_Meeting_Place

"Guards! Guards! (Discworld, #8; City Watch #1)"	Terry Pratchett	4.29	100002	1431127356s/64216	64216.Guards_Guards_

"Riverworld: To Your Scattered Bodies Go/The Fabulous Riverboat (Riverworld, #1-2)"	Philip José Farmer	3.85	868	1390169564s/6665903	6665903-riverworld

"Tricked (The Iron Druid Chronicles, #4)"	Kevin Hearne	4.25	28407	1324455119s/12700306	12700306-tricked

Earth (The Book): A Visitor's Guide to the Human Race	Jon Stewart	3.91	22529	1344264519s/8163722	8163722-earth-the-book

"The Skinjacker Trilogy: Everlost / Everwild / Everfound (Skinjacker, #1-3)"	Neal Shusterman	4.53	1135	1317324120s/11508183	11508183-the-skinjacker-trilogy

"Warrior's Woman (Ly-San-Ter, #1)"	Johanna Lindsey	4.02	6501	1277005901s/763774	763774.Warrior_s_Woman

"Wild Things (Prowlers, #4)"	Christopher Golden	3.98	126	1388819479s/1178134	1178134.Wild_Things

Kandyd	Voltaire	3.75	149185	1453763304s/28698812	28698812-kandyd

"Vacation Under the Volcano (Magic Tree House, #13)"	Mary Pope Osborne	3.94	7599	1320465568s/126574	126574.Vacation_Under_the_Volcano

"So You Want to Be a Wizard (Young Wizards, #1)"	Diane Duane	3.78	19777	1328877065s/116563	116563.So_You_Want_to_Be_a_Wizard

Beautifully Broken (If I Break #3)	Portia Moore	4.39	3435	1420298781s/24277696	24277696-beautifully-broken

"A Dirty Job (Grim Reaper, #1)"	Christopher Moore	4.09	75930	1331323415s/33456	33456.A_Dirty_Job

"Pessi Und Illusia: Die Elfe, Die Ihre Flíégel Verlor:  Eine Vom Autor Gekíérzte Fassung Fíér Kinder"	Yrjí´íí‚é Kokko	3.81	150	1173083867s/245056	245056.Pessi_Und_Illusia

"Heart of Venom (Elemental Assassin, #9)"	Jennifer Estep	4.18	5531	1359050337s/16130369	16130369-heart-of-venom

"Deadly Dreams (Death Walker, #1)"	Sarah Dieng	4.03	36	1340494009s/12059096	12059096-deadly-dreams

"Quicksilver (Hungry Moon, #1)"	Claudy Conn	3.71	734	1353785893s/16168599	16168599-quicksilver

"The Power of Love (Kissed by an Angel, #2)"	Elizabeth Chandler	3.87	1950	1173743921s/321647	321647.The_Power_of_Love

Madame Tussaud: A Novel of the French Revolution	Michelle Moran	3.94	14723	1320558120s/8689913	8689913-madame-tussaud

"Plague (Gone, #4)"	Michael  Grant	4.19	37730	1277829926s/6686101	6686101-plague

"84, Charing Cross Road"	Helene Hanff	4.18	25140	1287338794s/368916	368916.84_Charing_Cross_Road

"When in Paris... (Language of Love, #1)"	Beverley Kendall	3.82	1248	1358991825s/16112809	16112809-when-in-paris

"Weaving Destiny (The Soulkeepers, #2)"	G.P. Ching	4.1	3350	1328324553s/13040592	13040592-weaving-destiny

"Heart of the Sea (Gallaghers of Ardmore / Irish Trilogy, #3)"	Nora Roberts	4.13	21737	1440345665s/17781	17781.Heart_of_the_Sea

"Drums of Autumn (Outlander, #4)"	Diana Gabaldon	4.33	118511	1388191458s/10988	10988.Drums_of_Autumn

"The Proud Tower: A Portrait of the World Before the War, 1890-1914"	Barbara W. Tuchman	4.13	5159	1431902585s/192955	192955.The_Proud_Tower

"The Lost Hero (Heroes of Olympus, #1)"	Rick Riordan	4.35	431026	1327115627s/11714579	11714579-the-lost-hero

The Piano Shop on the Left Bank: Discovering a Forgotten Passion in a Paris Atelier	Thad Carhart	3.95	3708	1388311251s/16051	16051.The_Piano_Shop_on_the_Left_Bank

"Sacred Sins (D.C. Detectives, #1)"	Nora Roberts	3.8	10001	1403193569s/682156	682156.Sacred_Sins

"Mission of Gravity (Mesklin, #1)"	Hal Clement	3.89	5154	1328628795s/525285	525285.Mission_of_Gravity

"Mercury's War (Breeds, #16)"	Lora Leigh	4.37	9892	1348123841s/2981807	2981807-mercury-s-war

