title	author	avg_rating	ratings	img	url
"The Hunger Games (The Hunger Games, #1)"	Suzanne Collins	4.36	4175878	1447303603s/2767052	2767052-the-hunger-games
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"	J.K. Rowling	4.42	3869832	1361572757s/3	3.Harry_Potter_and_the_Sorcerer_s_Stone
"Twilight (Twilight, #1)"	Stephenie Meyer	3.56	3404290	1361039443s/41865	41865.Twilight
To Kill a Mockingbird	Harper Lee	4.24	2829336	1361975680s/2657	2657.To_Kill_a_Mockingbird
The Great Gatsby	F. Scott Fitzgerald	3.87	2426391	1438728255s/4671	4671.The_Great_Gatsby
The Fault in Our Stars	John Green	4.31	1949149	1360206420s/11870085	11870085-the-fault-in-our-stars
The Hobbit	J.R.R. Tolkien	4.23	1915871	1240356428s/17261	17261.The_Hobbit
The Catcher in the Rye	J.D. Salinger	3.78	1855107	1398034300s/5107	5107.The_Catcher_in_the_Rye
Pride and Prejudice	Jane Austen	4.24	1854005	1461620558s/1886	1886.Pride_and_Prejudice
"Catching Fire (The Hunger Games, #2)"	Suzanne Collins	4.3	1818122	1358273780s/6148028	6148028-catching-fire
"Divergent (Divergent, #1)"	Veronica Roth	4.28	1813973	1328559506s/13335037	13335037-divergent
The Diary of a Young Girl	Anne Frank	4.08	1756527	1358276407s/48855	48855.The_Diary_of_a_Young_Girl
1984	George Orwell	4.12	1748208	1434883591s/1271159	1271159.198
"Angels & Demons  (Robert Langdon, #1)"	Dan Brown	3.83	1746312	1303390735s/960	960.Angels_Demons
Animal Farm	George Orwell	3.84	1731219	1424037542s/7613	7613.Animal_Farm
"Mockingjay (The Hunger Games, #3)"	Suzanne Collins	4.03	1678720	1358275419s/7260188	7260188-mockingjay
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"	J.K. Rowling	4.5	1673951	1362278317s/5	5.Harry_Potter_and_the_Prisoner_of_Azkaban
"The Girl with the Dragon Tattoo (Millennium, #1)"	Stieg Larsson	4.09	1636008	1327868566s/2429135	2429135.The_Girl_with_the_Dragon_Tattoo
The Kite Runner	Khaled Hosseini	4.23	1624197	1333578275s/819495	819495.The_Kite_Runner
