Blow Your House Down	Pat Barker	3.63	255	1348086961s/427795	427795.Blow_Your_House_Down	176
Fire in the East (Warrior of Rome, #1)	Harry Sidebottom	3.89	2224	1327918373s/3979407	3979407-fire-in-the-east	432
Curse the Dark (Retrievers, #2)	Laura Anne Gilman	3.71	1412	1267552469s/676905	676905.Curse_the_Dark	346
Cold Comfort Farm	Stella Gibbons	3.92	28901	1416161594s/92780	92780.Cold_Comfort_Farm	233
Finally, Forever (First Comes Love, #3)	Katie Kacvinsky	4.2	733	1393639432s/17883553	17883553-finally-forever	234
Cerrah (Jane Rizzoli & Maura Isles, #1)	Tess Gerritsen	4.09	83484	1284925799s/9349441	9349441-cerrah	274
Kitty's House of Horrors (Kitty Norville, #7)	Carrie Vaughn	4.05	10071	1388235607s/6620129	6620129-kitty-s-house-of-horrors	292
Just One Day (Just One Day, #1)	Gayle Forman	4.03	56940	1348674290s/12842115	12842115-just-one-day	369
Bite Club (The Morganville Vampires, #10)	Rachel Caine	4.24	25082	1388177342s/9376345	9376345-bite-club	340
Big Nate: In a Class by Himself (Big Nate Novels, #1)	Lincoln Peirce	4.14	17391	1442288527s/7150178	7150178-big-nate	224
Alpha's Mate (Siberian Volkov Pack, #1)	Caryn Moya Block	3.65	775	1338983073s/13382965	13382965-alpha-s-mate	114
The Midwife: A Memoir of Birth, Joy, and Hard Times	Jennifer Worth	4.16	32191	1442450890s/6114607	6114607-the-midwife	340
Josh & Emma - Soundtrack einer Liebe (Josh & Emma, #1)	Sina M�_ller	3.67	24	1416474803s/23592099	23592099-josh-emma---soundtrack-einer-liebe	338
The Perfect Poison (Arcane Society, #6)	Amanda Quick	3.99	6161	1327490351s/4258529	4258529-the-perfect-poison	342
My Immortal Highlander (MacNachton Vampires, #3)	Hannah Howell	4.19	2822	1178723769s/825830	825830.My_Immortal_Highlander	304
Hunted (The Iron Druid Chronicles, #6)	Kevin Hearne	4.3	20566	1358135117s/16071748	16071748-hunted	384
The Emperor's Dragon, #1	G.G. Donnahue	4.36	11	1436555480s/20747419	20747419-the-emperor-s-dragon-1	187
Baker Encyclopedia of Christian Apologetics	Norman L. Geisler	4.14	288	1347568238s/590820	590820.Baker_Encyclopedia_of_Christian_Apologetics	864
Fiddlesticks and Freckles (Living Forest, Volume 9)	Sam Campbell	4.26	61	1290285917s/9739421	9739421-fiddlesticks-and-freckles	243
Uncharted (On the Island, #1.5)	Tracey Garvis-Graves	4.08	5862	1363971188s/17268741	17268741-uncharted	160
Kit Saves the Day: A Summer Story (American Girls: Kit, #5)	Valerie Tripp	4	1228	1390354886s/722999	722999.Kit_Saves_the_Day	68
