Brave New World	Aldous Huxley	3.95	929223	1433092908s/5129	5129.Brave_New_World	268
Blue Exorcist, Vol. 1  (Blue Exorcist, #1)	Kazue Kato	4.35	33444	1432642113s/9876989	9876989-blue-exorcist-vol-1	200
Die Pforte des Magiers (Bartimí´íéí‚éus, #3)	Jonathan Stroud	4.23	60642	1335744956s/8041361	8041361-die-pforte-des-magiers	608
Out to Canaan (Mitford Years, #4)	Jan Karon	4.26	12361	1388868938s/78674	78674.Out_to_Canaan	464
One Tuesday Morning (9/11, #1)	Karen Kingsbury	4.4	13570	1436486968s/97862	97862.One_Tuesday_Morning	352
The Handmaid's Tale	Margaret Atwood	4	479861	1294702760s/38447	38447.The_Handmaid_s_Tale	311
The Atonement Child	Francine Rivers	4.25	27034	1406513472s/9943	9943.The_Atonement_Child	375
Kan í´ä‰åŒéarkí´äóæí‚Œ±sí´äóæí‚Œ± (Kuzgunun Gí´íéí‚élgesi, #1)	Anthony  Ryan	4.49	41101	1399485902s/22048861	22048861-kan-ark-s	664
April 1865: The Month That Saved America	Jay Winik	4.15	7674	1407706523s/55229	55229.April_1865	512
The Wayfarer Redemption (Wayfarer Redemption, #1)	Sara Douglass	3.92	13323	1312033613s/231989	231989.The_Wayfarer_Redemption	613
True Colors	Kristin Hannah	3.88	30045	1442893974s/3975186	3975186-true-colors	400
War Brides	Helen Bryan	3.68	24255	1348638940s/2535743	2535743.War_Brides	467
A People's History of the United States	Howard Zinn	4.08	111041	1407105086s/2767	2767.A_People_s_History_of_the_United_States	768
Elegy (Watersong, #4)	Amanda Hocking	4.04	5222	1364340241s/13615701	13615701-elegy	542
Fifty Shades Freed (Fifty Shades, #3)	E.L. James	3.9	564070	1336418837s/13536860	13536860-fifty-shades-freed	579
Tom Jones	Henry Fielding	3.73	23203	1405887770s/15924987	15924987-tom-jones	900
Vixen 03 (Dirk Pitt, #4)	Clive Cussler	3.82	9027	1340904695s/41700	41700.Vixen_03	384
Necropolis (The Gatekeepers, #4)	Anthony Horowitz	4.14	8368	1348477584s/2870651	2870651-necropolis	388
Victoria and the Rogue	Meg Cabot	3.6	7671	1386923552s/187810	187810.Victoria_and_the_Rogue	241
í´íŠí‚éíéŒíÍí´íŠí‚í†í´í©éíïŒí´íŠí‚éíéŒŒí´íŠí‚éí´í©éíïé í´íŠí‚í†í´í©éíïéí´íŠí‚éí´í©ŒŒéí´íŠí‚Œ±í´íŠí‚é í´íŠí‚íéí´í©éíïéí´íŠí‚í† íéŒŒíéí‚Œ© 1 - í´í©éíïéí´íŠí‚éí´í©éíïéí´í©éíïŒ í´íŠí‚éíéŒíÍí´íŠí‚í†í´í©éíïŒí´íŠí‚é	Emily Rodda	3.89	5532	1254037098s/6082729	6082729-1--	216
Death Troopers	Joe Schreiber	3.64	4930	1320537605s/6310782	6310782-death-troopers	265
Evernight (Evernight, #1)	Claudia Gray	3.65	62501	1306376600s/2722413	2722413-evernight	327
Point of Retreat (Slammed, #2)	Colleen Hoover	4.31	111554	1330543249s/13496084	13496084-point-of-retreat	215
Laí´íîéíïé Tahzan: Jangan Bersedih!	'Aidh bin Abdullah Al-Qarni	4.17	23412	1456210013s/1301625	1301625.La_Tahzan	544
Three, Two, One (321)	J.A. Huss	4.15	7317	1422227116s/24235463	24235463-three-two-one	365
Herland	Charlotte Perkins Gilman	3.44	7783	1403189138s/531509	531509.Herland	176
Her Mad Hatter (Kingdom, #1)	Marie Hall	3.79	6044	1361752660s/17413115	17413115-her-mad-hatter	129
Mick Harte Was Here	Barbara Park	4.2	2516	1372199564s/500799	500799.Mick_Harte_Was_Here	86
Third Debt (Indebted, #4)	Pepper Winters	4.46	6307	1429639064s/25351142	25351142-third-debt	386
The Homecoming	Harold Pinter	3.75	5522	1347421931s/537657	537657.The_Homecoming	138
Swamp Thing, Vol. 6: Reunion	Alan Moore	4.32	2758	1349065784s/109245	109245.Swamp_Thing_Vol_6	200
The Music of Chance	Paul Auster	3.9	6774	1392501162s/19490	19490.The_Music_of_Chance	217
Song for the Basilisk	Patricia A. McKillip	3.97	2000	1396837643s/81070	81070.Song_for_the_Basilisk	320
Christ and Culture	H. Richard Niebuhr	3.89	1793	1431145191s/73189	73189.Christ_and_Culture	320
Club Dead (Sookie Stackhouse, #3)	Charlaine Harris	4.03	187654	1329501590s/140082	140082.Club_Dead	274
The Heart Mender: A Story of Second Chances	Andy Andrews	4.22	2420	1442858672s/7264975	7264975-the-heart-mender	256
TransAtlantic	Colum McCann	3.8	17600	1367929787s/16085517	16085517-transatlantic	304
Caixa de Pássaros	Josh Malerman	3.96	24013	1419975302s/24206820	24206820-caixa-de-p-ssaros	272
A Beautiful Mind	Sylvia Nasar	4.1	83239	1347807703s/13912	13912.A_Beautiful_Mind	461
